Loca Time: 2017-6-5 21:49:59, Ticker Id: 1001, Field: 66, Price: 47.41
Loca Time: 2017-6-5 21:49:59, Ticker Id: 1001, Field: 67, Price: 47.43
Loca Time: 2017-6-5 21:49:59, Ticker Id: 1002, Field: 66, Price: 49.57
Loca Time: 2017-6-5 21:49:59, Ticker Id: 1002, Field: 67, Price: 49.59
Loca Time: 2017-6-5 21:50:4, Ticker Id: 1001, Field: 66, Price: 47.42
Loca Time: 2017-6-5 21:50:4, Ticker Id: 1001, Field: 67, Price: 47.44
Loca Time: 2017-6-5 21:50:4, Ticker Id: 1002, Field: 66, Price: 49.58
Loca Time: 2017-6-5 21:50:4, Ticker Id: 1002, Field: 67, Price: 49.61
Loca Time: 2017-6-5 21:50:9, Ticker Id: 1001, Field: 68, Price: 47.43
Loca Time: 2017-6-5 21:50:9, Ticker Id: 1001, Field: 66, Price: 47.43
Loca Time: 2017-6-5 21:50:14, Ticker Id: 1001, Field: 68, Price: 47.46
Loca Time: 2017-6-5 21:50:14, Ticker Id: 1001, Field: 66, Price: 47.45
Loca Time: 2017-6-5 21:50:14, Ticker Id: 1001, Field: 67, Price: 47.47
Loca Time: 2017-6-5 21:50:14, Ticker Id: 1002, Field: 66, Price: 49.61
Loca Time: 2017-6-5 21:50:14, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:50:18, Ticker Id: 1002, Field: 67, Price: 49.63
Loca Time: 2017-6-5 21:50:19, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:50:19, Ticker Id: 1001, Field: 67, Price: 47.46
Loca Time: 2017-6-5 21:50:19, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:50:19, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:50:23, Ticker Id: 1001, Field: 68, Price: 47.47
Loca Time: 2017-6-5 21:50:23, Ticker Id: 1002, Field: 67, Price: 49.65
Loca Time: 2017-6-5 21:50:24, Ticker Id: 1001, Field: 66, Price: 47.47
Loca Time: 2017-6-5 21:50:24, Ticker Id: 1001, Field: 67, Price: 47.49
Loca Time: 2017-6-5 21:50:24, Ticker Id: 1002, Field: 66, Price: 49.63
Loca Time: 2017-6-5 21:50:24, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:50:28, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:50:28, Ticker Id: 1001, Field: 67, Price: 47.46
Loca Time: 2017-6-5 21:50:28, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:50:28, Ticker Id: 1002, Field: 67, Price: 49.62
Loca Time: 2017-6-5 21:50:33, Ticker Id: 1002, Field: 67, Price: 49.63
Loca Time: 2017-6-5 21:50:38, Ticker Id: 1001, Field: 66, Price: 47.46
Loca Time: 2017-6-5 21:50:38, Ticker Id: 1001, Field: 67, Price: 47.47
Loca Time: 2017-6-5 21:50:38, Ticker Id: 1002, Field: 66, Price: 49.62
Loca Time: 2017-6-5 21:50:38, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:50:49, Ticker Id: 1001, Field: 66, Price: 47.47
Loca Time: 2017-6-5 21:50:49, Ticker Id: 1001, Field: 67, Price: 47.48
Loca Time: 2017-6-5 21:50:49, Ticker Id: 1002, Field: 66, Price: 49.63
Loca Time: 2017-6-5 21:50:49, Ticker Id: 1002, Field: 67, Price: 49.65
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1001, Field: 68, Price: 47.49
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1001, Field: 66, Price: 47.49
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1001, Field: 67, Price: 47.5
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1002, Field: 68, Price: 49.65
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1002, Field: 66, Price: 49.65
Loca Time: 2017-6-5 21:50:54, Ticker Id: 1002, Field: 67, Price: 49.67
Loca Time: 2017-6-5 21:51:9, Ticker Id: 1001, Field: 66, Price: 47.48
Loca Time: 2017-6-5 21:51:9, Ticker Id: 1002, Field: 66, Price: 49.64
Loca Time: 2017-6-5 21:51:24, Ticker Id: 1001, Field: 66, Price: 47.47
Loca Time: 2017-6-5 21:51:24, Ticker Id: 1001, Field: 67, Price: 47.49
Loca Time: 2017-6-5 21:51:24, Ticker Id: 1002, Field: 66, Price: 49.63
Loca Time: 2017-6-5 21:51:24, Ticker Id: 1002, Field: 67, Price: 49.65
Loca Time: 2017-6-5 21:51:33, Ticker Id: 1001, Field: 68, Price: 47.46
Loca Time: 2017-6-5 21:51:33, Ticker Id: 1001, Field: 66, Price: 47.46
Loca Time: 2017-6-5 21:51:33, Ticker Id: 1001, Field: 67, Price: 47.47
Loca Time: 2017-6-5 21:51:33, Ticker Id: 1002, Field: 66, Price: 49.62
Loca Time: 2017-6-5 21:51:33, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:51:45, Ticker Id: 1001, Field: 68, Price: 47.47
Loca Time: 2017-6-5 21:51:49, Ticker Id: 1001, Field: 66, Price: 47.47
Loca Time: 2017-6-5 21:51:49, Ticker Id: 1001, Field: 67, Price: 47.48
Loca Time: 2017-6-5 21:51:49, Ticker Id: 1002, Field: 66, Price: 49.63
Loca Time: 2017-6-5 21:51:49, Ticker Id: 1002, Field: 67, Price: 49.65
Loca Time: 2017-6-5 21:51:50, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:51:54, Ticker Id: 1001, Field: 66, Price: 47.46
Loca Time: 2017-6-5 21:51:54, Ticker Id: 1001, Field: 67, Price: 47.47
Loca Time: 2017-6-5 21:51:54, Ticker Id: 1002, Field: 66, Price: 49.62
Loca Time: 2017-6-5 21:51:54, Ticker Id: 1002, Field: 67, Price: 49.65
Loca Time: 2017-6-5 21:51:55, Ticker Id: 1002, Field: 68, Price: 49.63
Loca Time: 2017-6-5 21:51:58, Ticker Id: 1002, Field: 67, Price: 49.64
Loca Time: 2017-6-5 21:52:4, Ticker Id: 1001, Field: 66, Price: 47.45
Loca Time: 2017-6-5 21:52:4, Ticker Id: 1002, Field: 66, Price: 49.61
Loca Time: 2017-6-5 21:52:8, Ticker Id: 1001, Field: 68, Price: 47.46
Loca Time: 2017-6-5 21:52:9, Ticker Id: 1001, Field: 67, Price: 47.46
Loca Time: 2017-6-5 21:52:13, Ticker Id: 1001, Field: 68, Price: 47.45
Loca Time: 2017-6-5 21:52:14, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:52:14, Ticker Id: 1002, Field: 67, Price: 49.63
Loca Time: 2017-6-5 21:52:17, Ticker Id: 1001, Field: 68, Price: 47.44
Loca Time: 2017-6-5 21:52:18, Ticker Id: 1001, Field: 67, Price: 47.45
Loca Time: 2017-6-5 21:52:18, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:52:18, Ticker Id: 1002, Field: 67, Price: 49.62
Loca Time: 2017-6-5 21:52:19, Ticker Id: 1001, Field: 67, Price: 47.46
Loca Time: 2017-6-5 21:52:21, Ticker Id: 1001, Field: 68, Price: 47.45
Loca Time: 2017-6-5 21:52:21, Ticker Id: 1002, Field: 67, Price: 49.63
Loca Time: 2017-6-5 21:52:22, Ticker Id: 1002, Field: 66, Price: 49.61
Loca Time: 2017-6-5 21:52:22, Ticker Id: 1002, Field: 67, Price: 49.62
Loca Time: 2017-6-5 21:52:26, Ticker Id: 1002, Field: 68, Price: 49.61
Loca Time: 2017-6-5 21:52:27, Ticker Id: 1002, Field: 67, Price: 49.63
Loca Time: 2017-6-5 21:52:29, Ticker Id: 1001, Field: 66, Price: 47.45
Loca Time: 2017-6-5 21:52:33, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:52:34, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:52:37, Ticker Id: 1001, Field: 68, Price: 47.46
Loca Time: 2017-6-5 21:52:38, Ticker Id: 1001, Field: 66, Price: 47.45
Loca Time: 2017-6-5 21:52:38, Ticker Id: 1001, Field: 67, Price: 47.47
Loca Time: 2017-6-5 21:52:38, Ticker Id: 1002, Field: 66, Price: 49.61
Loca Time: 2017-6-5 21:52:48, Ticker Id: 1002, Field: 66, Price: 49.6
Loca Time: 2017-6-5 21:52:48, Ticker Id: 1002, Field: 67, Price: 49.62
Loca Time: 2017-6-5 21:52:48, Ticker Id: 1001, Field: 66, Price: 47.44
Loca Time: 2017-6-5 21:52:48, Ticker Id: 1001, Field: 67, Price: 47.46
Loca Time: 2017-6-5 21:52:58, Ticker Id: 1002, Field: 66, Price: 49.59
